Date,Sun_Pos,Sun_Sign,Sun_Ret,Mon_Pos,Mon_Sign,Mon_Ret,Mar_Pos,Mar_Sign,Mar_Ret,Mer_Pos,Mer_Sign,Mer_Ret,Jup_Pos,Jup_Sign,Jup_Ret,Ven_Pos,Ven_Sign,Ven_Ret,Sat_Pos,Sat_Sign,Sat_Ret,Rah_Pos,Rah_Sign,Rah_Ret,Ket_Pos,Ket_Sign,Ket_Ret,Close,Close_T1
07-Jun-20,22.34,2,2,8.2,9,2,22.31,11,2,15.58,3,2,2.15,10,1,17.25,2,1,7.15,10,1,4.57,3,1,4.57,9,1,,
08-Jun-20,23.32,2,2,22.02,9,2,23.1,11,2,16.44,3,2,2.11,10,1,16.49,2,1,7.12,10,1,4.57,3,1,4.57,9,1,,
09-Jun-20,24.29,2,2,5.22,10,2,23.49,11,2,17.27,3,2,2.06,10,1,16.14,2,1,7.1,10,1,4.58,3,1,4.58,9,1,,
10-Jun-20,25.27,2,2,18.19,10,2,24.28,11,2,18.06,3,2,2.01,10,1,15.41,2,1,7.07,10,1,4.59,3,1,4.59,9,1,,
11-Jun-20,26.24,2,2,0.56,11,2,25.07,11,2,18.4,3,2,1.57,10,1,15.08,2,1,7.04,10,1,5,3,1,5,9,1,,
12-Jun-20,27.21,2,2,13.16,11,2,25.46,11,2,19.1,3,2,1.52,10,1,14.37,2,1,7.02,10,1,5,3,1,5,9,1,,
13-Jun-20,28.19,2,2,25.22,11,2,26.25,11,2,19.36,3,2,1.47,10,1,14.08,2,1,6.59,10,1,5,3,1,5,9,1,,
14-Jun-20,29.16,2,2,7.19,12,2,27.03,11,2,19.57,3,2,1.41,10,1,13.41,2,1,6.56,10,1,5,3,1,5,9,1,,
15-Jun-20,0.13,3,2,19.13,12,2,27.42,11,2,20.14,3,2,1.36,10,1,13.16,2,1,6.53,10,1,5,3,1,5,9,1,,
16-Jun-20,1.1,3,2,1.06,1,2,28.2,11,2,20.26,3,2,1.3,10,1,12.53,2,1,6.5,10,1,5,3,1,5,9,1,,
17-Jun-20,2.08,3,2,13.03,1,2,28.58,11,2,20.34,3,2,1.25,10,1,12.33,2,1,6.46,10,1,4.59,3,1,4.59,9,1,,
18-Jun-20,3.05,3,2,25.08,1,2,29.36,11,2,20.37,3,2,1.19,10,1,12.14,2,1,6.43,10,1,4.59,3,1,4.59,9,1,,
19-Jun-20,4.02,3,2,7.24,2,2,0.14,12,2,20.36,3,1,1.13,10,1,11.58,2,1,6.4,10,1,4.59,3,1,4.59,9,1,,
20-Jun-20,5,3,2,19.54,2,2,0.52,12,2,20.3,3,1,1.07,10,1,11.45,2,1,6.36,10,1,4.59,3,1,4.59,9,1,,
21-Jun-20,5.57,3,2,2.37,3,2,1.3,12,2,20.2,3,1,1,10,1,11.33,2,1,6.33,10,1,4.59,3,1,4.59,9,1,,
22-Jun-20,6.54,3,2,15.36,3,2,2.07,12,2,20.06,3,1,0.54,10,1,11.24,2,1,6.29,10,1,4.59,3,1,4.59,9,1,,
23-Jun-20,7.51,3,2,28.5,3,2,2.45,12,2,19.47,3,1,0.48,10,1,11.18,2,1,6.26,10,1,4.59,3,1,4.59,9,1,,
24-Jun-20,8.49,3,2,12.19,4,2,3.22,12,2,19.25,3,1,0.41,10,1,11.14,2,1,6.22,10,1,4.58,3,1,4.58,9,1,,
25-Jun-20,9.46,3,2,26,4,2,3.59,12,2,19,3,1,0.34,10,1,11.12,2,1,6.19,10,1,4.58,3,1,4.58,9,1,,
26-Jun-20,10.43,3,2,9.53,5,2,4.36,12,2,18.31,3,1,0.28,10,1,11.12,2,2,6.15,10,1,4.57,3,1,4.57,9,1,,
27-Jun-20,11.4,3,2,23.55,5,2,5.12,12,2,18,3,1,0.21,10,1,11.15,2,2,6.11,10,1,4.57,3,1,4.57,9,1,,
28-Jun-20,12.38,3,2,8.04,6,2,5.49,12,2,17.27,3,1,0.14,10,1,11.2,2,2,6.07,10,1,4.56,3,1,4.56,9,1,,
29-Jun-20,13.35,3,2,22.18,6,2,6.25,12,2,16.52,3,1,0.07,10,1,11.27,2,2,6.03,10,1,4.56,3,1,4.56,9,1,,
30-Jun-20,14.32,3,2,6.35,7,2,7.01,12,2,16.17,3,1,0,10,1,11.37,2,2,5.59,10,1,4.57,3,1,4.57,9,1,,
